x	Sin(x)	Cos(x)
-3.14159265358979	-1.22460635382238E-16	-1
-3.13530317880783	-0.00628943331606784	-0.999980221318683
-3.12901370402587	-0.0125786178387411	-0.999920886057125
-3.12272422924391	-0.0188673047844671	-0.999821996562473
-3.11643475446195	-0.0251552453893758	-0.999683556746534
-3.11014527967999	-0.0314421909191206	-0.999505572085622
-3.10385580489802	-0.0377278926787171	-0.99928804962034
-3.09756633011606	-0.044012102022382	-0.999030997955304
-3.0912768553341	-0.0502945703633665	-0.998734427258801
-3.08498738055214	-0.0565750491837926	-0.998398349262383
-3.07869790577018	-0.0628532900444822	-0.998022777260411
-3.07240843098822	-0.0691290445947847	-0.997607726109523
-3.06611895620625	-0.0754020645824017	-0.997153212228046
-3.05982948142429	-0.0816721018632068	-0.996659253595353
-3.05354000664233	-0.0879389084110613	-0.996125869751143
-3.04725053186037	-0.0942022363276263	-0.995553081794675
-3.04096105707841	-0.100461837852168	-0.994940912383929
-3.03467158229645	-0.106717465371359	-0.994289385734713
-3.02838210751449	-0.112968871429073	-0.993598527619703
-3.02209263273252	-0.119215808736173	-0.992868365367424
-3.01580315795056	-0.125458030180296	-0.992098927861168
-3.0095136831686	-0.131695288835624	-0.991290245537855
-3.00322420838664	-0.137927337972654	-0.990442350386825
-2.99693473360468	-0.144153931067958	-0.989555275948572
-2.99064525882272	-0.150374821813937	-0.988629057313423
-2.98435578404075	-0.156589764128558	-0.987663731120143
-2.97806630925879	-0.162798512165094	-0.986659335554492
-2.97177683447683	-0.169000820321849	-0.985615910347708
-2.96548735969487	-0.175196443251869	-0.984533496774942
-2.95919788491291	-0.181385135872651	-0.983412137653619
-2.95290841013095	-0.187566653375837	-0.982251877341748
-2.94661893534899	-0.193740751236898	-0.981052761736168
-2.94032946056702	-0.199907185224804	-0.979814838270729
-2.93403998578506	-0.206065711411693	-0.97853815591442
-2.9277505110031	-0.212216086182508	-0.977222765169426
-2.92146103622114	-0.218358066244646	-0.975868718069136
-2.91517156143918	-0.224491408637573	-0.974476068176083
-2.90888208665722	-0.23061587074244	-0.973044870579824
-2.90259261187525	-0.23673121029168	-0.97157518189476
-2.89630313709329	-0.242837185378587	-0.970067060257901
-2.89001366231133	-0.248933554466892	-0.96852056532656
-2.88372418752937	-0.25502007640031	-0.966935758275998
-2.87743471274741	-0.261096510412088	-0.965312701797003
-2.87114523796545	-0.267162616134521	-0.963651460093409
